Fecha;Origen - Base de datos;Comprobante;Item - Cantidad;Artículo - Código;Artículo;Item - Monto sin impuestos;Item - Monto con impuestos;Item - Descuento sin impuestos;Item - Descuento con impuestos;Item - Monto Neto sin impuestos;Item - Monto Neto
28/11/24;CORDOBA2;FEN B 0040-00001308;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;1034,4628;1251,7;9310,1653;11265,3
16/11/24;CORDOBA2;FEN B 0040-00001252;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
18/11/24;CORDOBA2;FEN B 0040-00001259;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
19/11/24;CORDOBA2;FEN B 0040-00001269;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
19/11/24;CORDOBA2;FEN B 0040-00001270;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
20/11/24;CORDOBA2;FEN B 0040-00001272;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
23/11/24;CORDOBA2;FEN B 0040-00001284;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
8/11/24;CORDOBA2;FEN B 0040-00001213;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
9/11/24;CORDOBA2;FEN B 0040-00001219;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
9/11/24;CORDOBA2;FEN B 0040-00001221;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
10/11/24;CORDOBA2;FEN B 0040-00001228;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;0;0;10344,6281;12517
11/11/24;CORDOBA2;FEN B 0040-00001232;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
12/11/24;CORDOBA2;FEN B 0040-00001234;1;830;830 Protector termico c/acido hialurónico atom.x250ml;10344,6281;12517;2586,157;3129,25;7758,4711;9387,75
2/11/24;CORDOBA2;FEN B 0040-00001189;1;497;497 Acondiciona. Vitaminado s/Enjua.;9200,8264;11133;920,0827;1113,3;8280,7437;10019,7002
26/11/24;CORDOBA2;FEN B 0040-00001299;1;497;497 Acondiciona. Vitaminado s/Enjua.;9200,8264;11133;0;0;9200,8264;11133
5/11/24;CORDOBA2;FEN B 0040-00001201;1;407;407 Balsamo Sell.Bio Color 0% x400g;17438,843;21101;1743,8843;2110,1;15694,9587;18990,9001
9/11/24;CORDOBA2;FEN B 0040-00001224;1;407;407 Balsamo Sell.Bio Color 0% x400g;17438,843;21101;0;0;17438,843;21101
23/11/24;CORDOBA2;FEN B 0040-00001280;1;407;407 Balsamo Sell.Bio Color 0% x400g;17438,843;21101;1743,8843;2110,1;15694,9587;18990,9
23/11/24;CORDOBA2;FEN B 0040-00001285;1;407;407 Balsamo Sell.Bio Color 0% x400g;17438,843;21101;0;0;17438,843;21101
28/11/24;CORDOBA2;FEN B 0040-00001306;1;407;407 Balsamo Sell.Bio Color 0% x400g;17438,843;21101;0;0;17438,843;21101
8/11/24;CORDOBA2;FEN B 0040-00001216;1;260;260 Champú con Bioxidil x250ml;16754,5455;20273;0;0;16754,5455;20273
16/11/24;CORDOBA2;FEN B 0040-00001245;1;401;401 Masc.Acida sellad.Bio 0% x 150ml;10780,1653;13044;0;0;10780,1653;13044
16/11/24;CORDOBA2;FEN B 0040-00001249;1;401;401 Masc.Acida sellad.Bio 0% x 150ml;10780,1653;13044;0;0;10780,1653;13044
26/11/24;CORDOBA2;FEN B 0040-00001302;1;401;401 Masc.Acida sellad.Bio 0% x 150ml;10780,1653;13044;0;0;10780,1653;13044
5/11/24;CORDOBA2;FEN B 0040-00001198;1;775;775 MASCARA DE HIDRATACION CON GLYCOCERAMIDAS x150ml;8481,8182;10263;0;0;8481,8182;10263
12/11/24;CORDOBA2;FEN B 0040-00001234;1;775;775 MASCARA DE HIDRATACION CON GLYCOCERAMIDAS x150ml;8481,8182;10263;0;0;8481,8182;10263
30/11/24;CORDOBA2;FEN B 0040-00001318;1;775;775 MASCARA DE HIDRATACION CON GLYCOCERAMIDAS x150ml;8481,8182;10263;1696,3636;2052,6;6785,4546;8210,4
13/11/24;CORDOBA2;FEN B 0040-00001237;1;607;607 Champú Anti - Amarillo x 295ml;9115,7025;11030;0;0;9115,7025;11030
2/11/24;CORDOBA2;FEN B 0040-00001190;1;174;174 Bálsamo con Ceramidas x400ml;11021,4876;13336;1102,1488;1333,6;9919,3388;12002,3979
24/11/24;CORDOBA2;FEN B 0040-00001293;1;744;744 Amp.1044 x20ml P/Grasos C/Keratina Hidrolizada;4860,3306;5881;0;0;4860,3306;5881
18/11/24;CORDOBA2;FEN B 0040-00001261;1;791;791 Estuche reflejante plata x 20gr;1747,1074;2114;0;0;1747,1074;2114
18/11/24;CORDOBA2;FEN B 0040-00001262;1;791;791 Estuche reflejante plata x 20gr;1747,1074;2114;0;0;1747,1074;2114
24/11/24;CORDOBA2;FEN B 0040-00001291;1;791;791 Estuche reflejante plata x 20gr;1747,1074;2114;349,4215;422,8;1397,6859;1691,2
7/11/24;CORDOBA2;FEN B 0040-00001212;1;763;763 Loc.p/caida Bioxidil x 100ml;20668,595;25009;2066,8595;2500,9;18601,7355;22508,1022
18/11/24;CORDOBA2;FEN B 0040-00001267;1;75;75 Champú Aceite de Jojoba x400ml;8509,0909;10296;850,9091;1029,6;7658,1818;9266,4001
23/11/24;CORDOBA2;FEN B 0040-00001281;1;157;157 Brillo c/Siliconas Shine x290;10577,686;12799;1586,6529;1919,85;8991,0331;10879,15
18/11/24;CORDOBA2;FEN B 0040-00001264;1;157;157 Brillo c/Siliconas Shine x290;10577,686;12799;1586,6529;1919,85;8991,0331;10879,15
16/11/24;ERIOS;FEN B 0039-00003258;1;433;433 Trata. Nº4 Capi-Coco x24sac;1337,1901;1618;0;0;1337,1901;1618
26/11/24;ERIOS;FEN B 0039-00003363;1;433;433 Trata. Nº4 Capi-Coco x24sac;1337,1901;1618;0;0;1337,1901;1618
26/11/24;ERIOS;FEN B 0039-00003362;1;433;433 Trata. Nº4 Capi-Coco x24sac;1337,1901;1618;0;0;1337,1901;1618
26/11/24;ERIOS;FEN B 0039-00003361;1;433;433 Trata. Nº4 Capi-Coco x24sac;1337,1901;1618;133,719;161,8;1203,4711;1456,2006
30/11/24;ERIOS;FEN B 0039-00003408;1;649;649 Masc.Anti Rojizo x150ml;9570,2479;11580;1914,0496;2316;7656,1983;9264
30/11/24;ERIOS;FEN B 0039-00003400;1;69;69 Balsam c/Extr. de Algas x400ml;7962,8099;9635;0;0;7962,8099;9635
3/11/24;ERIOS;FEN B 0039-00003123;1;225;225 Crema p/Peinar Rulos x270gr;12452,0661;15067;0;0;12452,0661;15067
5/11/24;ERIOS;FEN B 0039-00003135;1;225;225 Crema p/Peinar Rulos x270gr;12452,0661;15067;0;0;12452,0661;15067
16/11/24;ERIOS;FEN B 0039-00003254;1;225;225 Crema p/Peinar Rulos x270gr;12452,0661;15067;0;0;12452,0661;15067,005
23/11/24;ERIOS;FEN B 0039-00003329;1;225;225 Crema p/Peinar Rulos x270gr;12452,0661;15067;0;0;12452,0661;15067
29/11/24;ERIOS;FEN B 0039-00003390;1;209;209 Champú Manzana Verde x400ml;8640,4959;10455;0;0;8640,4959;10455
30/11/24;ERIOS;FEN B 0039-00003400;1;209;209 Champú Manzana Verde x400ml;8640,4959;10455;0;0;8640,4959;10455
3/11/24;ERIOS;FEN B 0039-00003123;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;0;0;12412,3967;15019
26/11/24;ERIOS;FEN B 0039-00003364;1;199;199 Crema para Peinar Ultra Brillo;12412,3967;15019;0;0;12412,3967;15019
13/11/24;ERIOS;FEN B 0039-00003219;1;499;499 Óleo de Argan Frasco x60ml;20446,281;24740;0;0;20446,281;24740
15/11/24;ERIOS;FEN B 0039-00003238;1;499;499 Óleo de Argan Frasco x60ml;20446,281;24740;0;0;20446,281;24740
16/11/24;ERIOS;FEN B 0039-00003253;1;499;499 Óleo de Argan Frasco x60ml;20446,281;24740;2044,6282;2474;18401,6528;22265,9949
17/11/24;ERIOS;FEN B 0039-00003282;1;248;248 Champú p/Cab.Trat. c/Color x400;12363,6364;14960;0;0;12363,6364;14960
18/11/24;ERIOS;FEN B 0039-00003299;1;248;248 Champú p/Cab.Trat. c/Color x400;12363,6364;14960;0;0;12363,6364;14960
21/11/24;ERIOS;FEN B 0039-00003318;1;248;248 Champú p/Cab.Trat. c/Color x400;12363,6364;14960;0;0;12363,6364;14960
26/11/24;ERIOS;FEN B 0039-00003356;1;248;248 Champú p/Cab.Trat. c/Color x400;12363,6364;14960;0;0;12363,6364;14960
2/11/24;ERIOS;FEN B 0039-00003100;2;827;827 Nutri Serum x30ml;37874,3802;45828;0;0;37874,3802;45828
4/11/24;ERIOS;FEN B 0039-00003128;1;827;827 Nutri Serum x30ml;18937,1901;22914;29,5432;35,7473;18907,6469;22878,2525
6/11/24;ERIOS;FEN B 0039-00003143;1;827;827 Nutri Serum x30ml;18937,1901;22914;0;0;18937,1901;22914
23/11/24;ERIOS;FEN B 0039-00003333;1;827;827 Nutri Serum x30ml;18937,1901;22914;0;0;18937,1901;22914
23/11/24;ERIOS;FEN B 0039-00003338;1;827;827 Nutri Serum x30ml;18937,1901;22914;0;0;18937,1901;22914
